# case	version	url	sha256	git_commit	srpm_member	member_sha256
upstream-10.0.0	10.0.0	https://codeload.github.com/sysstat/sysstat/tar.gz/da125d82b6b693448e166eb036bb8e12cadbd959	b132c70e2b482d13ee525d315a279e9b778ba05555a776df20185fa9be02cec4	da125d82b6b693448e166eb036bb8e12cadbd959	-	-
upstream-10.0.1	10.0.1	https://codeload.github.com/sysstat/sysstat/tar.gz/2238885c663d445e44d4c4ed59b8548d9e623bcf	10b93e306d021f871b9217b70439797929d73bd955976b65efabab0a105dbf84	2238885c663d445e44d4c4ed59b8548d9e623bcf	-	-
upstream-10.0.2	10.0.2	https://codeload.github.com/sysstat/sysstat/tar.gz/5dc11bfd560adfd5e7d7b189e69f12e600dd34df	4385bffadb4863d5540ab4af8e125eeed7e0f8ad99018b72acf704763d8c4e2e	5dc11bfd560adfd5e7d7b189e69f12e600dd34df	-	-
upstream-10.0.3	10.0.3	https://codeload.github.com/sysstat/sysstat/tar.gz/15698b3ebae45d615fa2f549658776dd5bbee760	20a688079c1ec51ac82b5a24e7c11a4bd963552f78b92249f1e20a1ba6672ece	15698b3ebae45d615fa2f549658776dd5bbee760	-	-
upstream-10.0.4	10.0.4	https://codeload.github.com/sysstat/sysstat/tar.gz/a244d64488eaa74f8f2a61461503d6189931ac62	7e212336b37dd340cc1594169d393069517454d40d0b92edc326c7a4ab919170	a244d64488eaa74f8f2a61461503d6189931ac62	-	-
upstream-10.0.5	10.0.5	https://codeload.github.com/sysstat/sysstat/tar.gz/02166502ab297dbe6c222911b026b1d6def698df	106d30cf6581b5b29b125d2918caac64d55acb8a57ffa137f376eab0bcfcec8a	02166502ab297dbe6c222911b026b1d6def698df	-	-
upstream-10.1.1	10.1.1	https://codeload.github.com/sysstat/sysstat/tar.gz/eea9e57a41c39a4cfb33c0a9ddd21c2ef9707f88	119d432a8e724fab1dc6f14773391ceef2f47055c5af0edf5f6d1bea8c1a92d4	eea9e57a41c39a4cfb33c0a9ddd21c2ef9707f88	-	-
upstream-10.1.2	10.1.2	https://codeload.github.com/sysstat/sysstat/tar.gz/462f0abc99bcd0e4d53ad19bf20f79002f48708f	0ac8b16a692a31f69cd414f25e58346bee5773fce015a428ec8645d599bd13fa	462f0abc99bcd0e4d53ad19bf20f79002f48708f	-	-
upstream-10.1.3	10.1.3	https://codeload.github.com/sysstat/sysstat/tar.gz/049ea5c39d0bb65f44852beb924376c08c5e4137	8afd750b986bda7d535bea092fb917a81e685904f3dcc8e882afa379565b49a3	049ea5c39d0bb65f44852beb924376c08c5e4137	-	-
upstream-10.1.4	10.1.4	https://codeload.github.com/sysstat/sysstat/tar.gz/d3e3bc6e76edee720c3dc751c1aeaec18ce05afa	98433e0b75d1c6355299882d68d1129f3d1d19d00a27f62facab2ff665d6d2d3	d3e3bc6e76edee720c3dc751c1aeaec18ce05afa	-	-
